game_pk,date,start_time_utc,venue,game_type,away_team,home_team,away_team_id,home_team_id,away_probable,home_probable,away_probable_id,home_probable_id,away_score,home_score,winner,home_won,total_runs,run_differential,double_header,game_number
718767,2023-03-30,2023-03-31T02:10:00Z,T-Mobile Park,R,CLE,SEA,114,136,Shane Bieber,Luis Castillo,669456,622491,0,3,SEA,1,3,3,N,1
718768,2023-03-30,2023-03-30T23:08:00Z,Minute Maid Park,R,CWS,HOU,145,117,Dylan Cease,Framber Valdez,656302,664285,3,2,CWS,0,5,1,N,1
718769,2023-03-30,2023-03-31T02:07:00Z,Oakland Coliseum,R,LAA,OAK,108,133,Shohei Ohtani,Kyle Muller,660271,666205,1,2,OAK,1,3,1,N,1
718770,2023-03-30,2023-03-31T02:10:00Z,Dodger Stadium,R,AZ,LAD,109,119,Zac Gallen,Julio Urías,668678,628711,2,8,LAD,1,10,6,N,1
718772,2023-03-30,2023-03-30T20:10:00Z,Busch Stadium,R,TOR,STL,141,138,Alek Manoah,Miles Mikolas,666201,571945,10,9,TOR,0,19,1,N,1
718773,2023-03-30,2023-03-30T20:10:00Z,Great American Ball Park,R,PIT,CIN,134,113,Mitch Keller,Hunter Greene,656605,668881,5,4,PIT,0,9,1,N,1
718774,2023-03-30,2023-03-30T20:10:00Z,loanDepot park,R,NYM,MIA,121,146,Max Scherzer,Sandy Alcantara,453286,645261,5,3,NYM,0,8,2,N,1
718775,2023-03-30,2023-03-30T20:10:00Z,Kauffman Stadium,R,MIN,KC,142,118,Pablo López,Zack Greinke,641154,425844,2,0,MIN,0,2,2,N,1
718776,2023-03-30,2023-03-30T19:10:00Z,Tropicana Field,R,DET,TB,116,139,Eduardo Rodriguez,Shane McClanahan,593958,663556,0,4,TB,1,4,4,N,1
718777,2023-03-30,2023-03-30T18:20:00Z,Wrigley Field,R,MIL,CHC,158,112,Corbin Burnes,Marcus Stroman,669203,573186,0,4,CHC,1,4,4,N,1
718778,2023-03-30,2023-03-31T01:40:00Z,Petco Park,R,COL,SD,115,135,Germán Márquez,Blake Snell,608566,605483,7,2,COL,0,9,5,N,1
718779,2023-03-30,2023-03-30T20:05:00Z,Globe Life Field,R,PHI,TEX,143,140,Aaron Nola,Jacob deGrom,605400,594798,7,11,TEX,1,18,4,N,1
718780,2023-03-30,2023-03-30T17:05:00Z,Nationals Park,R,ATL,WSH,144,120,Max Fried,Patrick Corbin,608331,571578,7,2,ATL,0,9,5,N,1
718781,2023-03-30,2023-03-30T17:05:00Z,Yankee Stadium,R,SF,NYY,137,147,Logan Webb,Gerrit Cole,657277,543037,0,5,NYY,1,5,5,N,1
718782,2023-03-30,2023-03-30T18:10:00Z,Fenway Park,R,BAL,BOS,110,111,Kyle Gibson,Corey Kluber,502043,446372,10,9,BAL,0,19,1,N,1
718763,2023-03-31,2023-04-01T02:10:00Z,T-Mobile Park,R,CLE,SEA,114,136,Hunter Gaddis,Robbie Ray,683769,592662,9,4,CLE,0,13,5,N,1
718764,2023-03-31,2023-04-01T00:10:00Z,Minute Maid Park,R,CWS,HOU,145,117,Lance Lynn,Cristian Javier,458681,664299,3,6,HOU,1,9,3,N,1
718765,2023-03-31,2023-04-01T02:10:00Z,Dodger Stadium,R,AZ,LAD,109,119,Merrill Kelly,Dustin May,518876,669160,2,1,AZ,0,3,1,N,1
718766,2023-03-31,2023-04-01T01:40:00Z,Petco Park,R,COL,SD,115,135,Kyle Freeland,Nick Martinez,607536,607259,4,1,COL,0,5,3,N,1
718771,2023-03-31,2023-03-31T22:40:00Z,loanDepot park,R,NYM,MIA,121,146,David Peterson,Jesús Luzardo,656849,666200,1,2,MIA,1,3,1,N,1
718746,2023-04-01,2023-04-02T01:40:00Z,T-Mobile Park,R,CLE,SEA,114,136,Aaron Civale,Logan Gilbert,650644,669302,2,0,CLE,0,2,2,N,1
718749,2023-04-01,2023-04-02T01:10:00Z,Dodger Stadium,R,AZ,LAD,109,119,Madison Bumgarner,Clayton Kershaw,518516,477132,1,10,LAD,1,11,9,N,1
718750,2023-04-01,2023-04-02T00:40:00Z,Petco Park,R,COL,SD,115,135,José Ureña,Michael Wacha,570632,608379,4,8,SD,1,12,4,N,1
718751,2023-04-01,2023-04-01T20:10:00Z,Kauffman Stadium,R,MIN,KC,142,118,Sonny Gray,Jordan Lyles,543243,543475,2,0,MIN,0,2,2,N,1
718752,2023-04-01,2023-04-01T20:05:00Z,Globe Life Field,R,PHI,TEX,143,140,Zack Wheeler,Nathan Eovaldi,554430,543135,3,16,TEX,1,19,13,N,1
718753,2023-04-01,2023-04-01T20:05:00Z,Nationals Park,R,ATL,WSH,144,120,Spencer Strider,Josiah Gray,675911,680686,7,1,ATL,0,8,6,N,1
718754,2023-04-01,2023-04-01T20:10:00Z,Tropicana Field,R,DET,TB,116,139,Spencer Turnbull,Zach Eflin,605513,621107,2,12,TB,1,14,10,N,1
718755,2023-04-01,2023-04-01T20:10:00Z,loanDepot park,R,NYM,MIA,121,146,Tylor Megill,Edward Cabrera,656731,665795,6,2,NYM,0,8,4,N,1
718756,2023-04-01,2023-04-01T20:10:00Z,Great American Ball Park,R,PIT,CIN,134,113,Rich Hill,Nick Lodolo,448179,666157,2,6,CIN,1,8,4,N,1
718757,2023-04-01,2023-04-01T20:07:00Z,Oakland Coliseum,R,LAA,OAK,108,133,Patrick Sandoval,Shintaro Fujinami,663776,660261,13,1,LAA,0,14,12,N,1
718758,2023-04-01,2023-04-01T18:20:00Z,Wrigley Field,R,MIL,CHC,158,112,Brandon Woodruff,Justin Steele,605540,657006,3,1,MIL,0,4,2,N,1
718759,2023-04-01,2023-04-01T18:15:00Z,Busch Stadium,R,TOR,STL,141,138,Kevin Gausman,Jack Flaherty,592332,656427,1,4,STL,1,5,3,N,1
718760,2023-04-01,2023-04-01T18:10:00Z,Minute Maid Park,R,CWS,HOU,145,117,Lucas Giolito,José Urquidy,608337,664353,4,6,HOU,1,10,2,N,1
718761,2023-04-01,2023-04-01T20:10:00Z,Fenway Park,R,BAL,BOS,110,111,Dean Kremer,Chris Sale,665152,519242,8,9,BOS,1,17,1,N,1
718762,2023-04-01,2023-04-01T20:05:00Z,Yankee Stadium,R,SF,NYY,137,147,Alex Cobb,Clarke Schmidt,502171,657376,7,5,SF,0,12,2,N,1
718733,2023-04-02,2023-04-02T20:10:00Z,Petco Park,R,COL,SD,115,135,Austin Gomber,Seth Lugo,596295,607625,1,3,SD,1,4,2,N,1
718734,2023-04-02,2023-04-02T20:07:00Z,Oakland Coliseum,R,LAA,OAK,108,133,Tyler Anderson,Ken Waldichuk,542881,686610,6,0,LAA,0,6,6,N,1
718735,2023-04-02,2023-04-02T20:10:00Z,T-Mobile Park,R,CLE,SEA,114,136,Cal Quantrill,Marco Gonzales,615698,594835,6,5,CLE,0,11,1,N,1
718736,2023-04-02,2023-04-02T20:10:00Z,Dodger Stadium,R,AZ,LAD,109,119,Zach Davies,Noah Syndergaard,605200,592789,2,1,AZ,0,3,1,N,1
718737,2023-04-02,2023-04-02T18:15:00Z,Busch Stadium,R,TOR,STL,141,138,Chris Bassitt,Jordan Montgomery,605135,656756,4,9,STL,1,13,5,N,1
718738,2023-04-02,2023-04-02T18:20:00Z,Wrigley Field,R,MIL,CHC,158,112,Eric Lauer,Jameson Taillon,641778,592791,9,5,MIL,0,14,4,N,1
718739,2023-04-02,2023-04-02T23:08:00Z,Globe Life Field,R,PHI,TEX,143,140,Bailey Falter,Martín Pérez,663559,527048,1,2,TEX,1,3,1,N,1
718740,2023-04-02,2023-04-02T18:10:00Z,Minute Maid Park,R,CWS,HOU,145,117,Mike Clevinger,Luis Garcia,605182,677651,6,3,CWS,0,9,3,N,1
718741,2023-04-02,2023-04-02T17:40:00Z,loanDepot park,R,NYM,MIA,121,146,Kodai Senga,Trevor Rogers,673540,669432,5,1,NYM,0,6,4,N,1
718742,2023-04-02,2023-04-02T17:10:00Z,Tropicana Field,R,DET,TB,116,139,Joey Wentz,Jeffrey Springs,666214,605488,1,5,TB,1,6,4,N,1
718743,2023-04-02,2023-04-02T17:35:00Z,Nationals Park,R,ATL,WSH,144,120,Jared Shuster,MacKenzie Gore,694363,669022,1,4,WSH,1,5,3,N,1
718744,2023-04-02,2023-04-02T17:40:00Z,Great American Ball Park,R,PIT,CIN,134,113,Vince Velasquez,Graham Ashcraft,592826,668933,1,3,CIN,1,4,2,N,1
718745,2023-04-02,2023-04-02T18:10:00Z,Kauffman Stadium,R,MIN,KC,142,118,Joe Ryan,Brad Keller,657746,641745,7,4,MIN,0,11,3,N,1
